item,itemLabel,position,positionLabel,start,psid
Q107361984,Albert Shingiro,Q98795771,Foreign Minister of Burundi,2020-06-30,Q107361984-b32d9018-4b5d-c59a-d386-c717e6ab229e
Q23674942,Emmanuel Ntahomvukiy,Q23541074,Minister of National Defence,2015-05-25,Q23674942-758A75FD-3D83-4259-B27F-806BE3C54F60
Q27231038,Alain-Guillaume Bunyoni,Q52728003,Prime Minister of Burundi,2020-06-24,Q27231038-38d8012f-426e-605e-337b-28cacb8ca3eb
Q27329764,Évariste Ndayishimiye,Q19057827,President of Burundi,2020-06-18,Q27329764-54d930c3-4aa6-73b0-c70e-c65248ebcc1f
Q88305770,Domitien Ndihokubwayo,Q112645343,Minister of Finance of Burundi,2016-05-01,Q88305770-42b9e284-4cc2-4275-640d-998efaadf9fd
Q96695249,Prosper Bazombanza,Q3556888,Vice-President of Burundi,2020-06-23,Q96695249-2EC9CD8A-FAD7-4A8D-B29B-DDD337EA5D09
Q98560477,Evelyne Butoyi,Q98582487,Minister of Youth of Burundi,2018-04-19,Q98560477-75352da8-4ddc-8996-994a-8888b72134b0
