id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19057827,President of Burundi,Q967,Q967,,Q422319,,,,,President of Burundi
Q3556888,Vice-President of Burundi,Q967,Q967,,,2020-06-23,,,,Vice-President of Burundi
Q27329477,First Vice-President of Burundi,Q967,Q967,,,,,,,
Q27329487,Second Vice-President of Burundi,Q967,Q967,,,,2020-06-23,,,
Q52728003,Prime Minister of Burundi,Q967,Q967,,Q633235,1961-01-26,1998-06-12,,,Prime Minister of Burundi
Q99279027,Minister of Agriculture of Burundi,Q967,,,,,,,,
Q112645343,Minister of Finance of Burundi,Q967,Q967,,,,,,,
Q98795771,Foreign Minister of Burundi,Q967,Q967,,,,,,,
Q110516015,Minister of Internal Security,Q967,Q967,,,,,,,
Q110516122,Minister of Justice,Q967,Q967,,,,,,,
Q23541074,Minister of National Defence,Q967,Q967,,,,,,,Minister of National Defence (Burundi)
Q98582487,Minister of Youth of Burundi,Q967,Q967,,,,,,,
